pk,run_id,zooniverse_id,projection,algorithm,number_of_clusters,expected_number_of_clusters,mean_distances_from_clusters,parameters
991,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,3,9,10.89580,155.00000
993,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,3,9,10.89580,165.00000
992,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,3,9,10.89580,160.00000
989,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,3,9,10.89580,145.00000
990,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,3,9,10.89580,150.00000
988,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,3,9,10.89580,140.00000
1030,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,39,14,11.65469,10.00000
995,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,3,9,11.85911,175.00000
997,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,3,9,11.85911,185.00000
996,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,3,9,11.85911,180.00000
994,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,3,9,11.85911,170.00000
826,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,72,8,12.37632,10.00000
1031,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,33,14,12.53595,15.00000
827,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,70,8,13.95188,15.00000
1026,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,DBSCAN,12,14,14.22142,30.00000
818,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,DBSCAN,18,8,14.62970,10.00000
1032,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,26,14,14.77210,20.00000
829,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,56,8,14.80047,25.00000
828,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,62,8,14.86662,20.00000
1025,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,DBSCAN,15,14,14.89996,25.00000
1027,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,DBSCAN,12,14,14.97729,35.00000
1034,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,21,14,15.08397,30.00000
1033,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,22,14,15.26461,25.00000
819,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,DBSCAN,15,8,15.85503,15.00000
830,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,54,8,16.07556,30.00000
1028,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,DBSCAN,8,14,16.86491,40.00000
1011,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,3,9,16.86910,255.00000
1010,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,3,9,16.86910,250.00000
1012,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,3,9,16.86910,260.00000
1013,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,3,9,16.86910,265.00000
1014,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,3,9,16.86910,270.00000
1035,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,18,14,17.84154,35.00000
1029,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,DBSCAN,7,14,18.09317,45.00000
1058,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,4,14,19.32052,150.00000
1057,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,4,14,19.32052,145.00000
1054,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,4,14,20.06602,130.00000
1056,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,4,14,20.06602,140.00000
