pk,run_id,algorithm,size,mean_time_taken
55,74f63210-fc50-4fed-8302-a429850dc98e,DBSCAN,S,0.00122
56,74f63210-fc50-4fed-8302-a429850dc98e,DBSCAN + Cluster Centres,S,0.00129
51,74f63210-fc50-4fed-8302-a429850dc98e,DBSCAN,M,0.00130
52,74f63210-fc50-4fed-8302-a429850dc98e,DBSCAN + Cluster Centres,M,0.00146
47,74f63210-fc50-4fed-8302-a429850dc98e,DBSCAN,L,0.00235
48,74f63210-fc50-4fed-8302-a429850dc98e,DBSCAN + Cluster Centres,L,0.00275
43,74f63210-fc50-4fed-8302-a429850dc98e,DBSCAN,XL,0.00312
44,74f63210-fc50-4fed-8302-a429850dc98e,DBSCAN + Cluster Centres,XL,0.00362
58,74f63210-fc50-4fed-8302-a429850dc98e,KMeans,S,0.03630
54,74f63210-fc50-4fed-8302-a429850dc98e,KMeans,M,0.04130
50,74f63210-fc50-4fed-8302-a429850dc98e,KMeans,L,0.06523
46,74f63210-fc50-4fed-8302-a429850dc98e,KMeans,XL,0.07688
57,74f63210-fc50-4fed-8302-a429850dc98e,MeanShift,S,0.18206
53,74f63210-fc50-4fed-8302-a429850dc98e,MeanShift,M,0.27798
49,74f63210-fc50-4fed-8302-a429850dc98e,MeanShift,L,0.49941
45,74f63210-fc50-4fed-8302-a429850dc98e,MeanShift,XL,0.77452
